dataset,split,K,epsilon_level,epsilon,n_test,eta_u_trim,eta_o_trim,eta_trim,n_pairs,n_pairs_kept,frac_kept,n_pairs_eta,frac_eta,ratio,LK_eta_trim,c_coeff,additive_bound,eta_path_raw,eta_u_path_raw,eta_o_path_raw,LK_raw,eta_u_cert,eta_o_cert,eta_cert,n_infeasible,frac_infeasible,eps_min_feasible,eps_min_feas_K,eps_cert,eta_u_certbest,eta_o_certbest,eta_certbest,LK_certbest,bound_certbest
breast_cancer,0,1,1,0.008771929824561403,114,1.1175438596491223,2.254945054945053,2.519999999999997,30,28,0.9333333333333333,15,0.5,0.96,0.3968253968253973,0.8869395711500981,0.38904522514864204,2.519999999999997,1.1175438596491223,2.254945054945053,0.3968253968253973,inf,inf,inf,6,0.2,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.0,1.0,1.0,1.0,0.8395786018636455
breast_cancer,0,1,2,0.017543859649122806,114,1.1175438596491223,2.254945054945053,2.519999999999997,30,24,0.8,15,0.5,0.96,0.3968253968253973,0.8869395711500981,0.38126505347188683,2.519999999999997,1.1175438596491223,2.254945054945053,0.3968253968253973,inf,inf,inf,4,0.13333333333333333,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.0,1.0,1.0,1.0,0.8395786018636455
breast_cancer,0,2,1,0.008771929824561403,114,4.434697855750481,2.254945054945053,9.999999999999979,59,48,0.8135593220338984,33,0.559322033898305,0.981132075471698,0.09750000000000025,0.8647660818713461,0.08232866523032752,36.0000000000001,15.96491228070181,2.254945054945053,0.027584876543209735,inf,inf,inf,10,0.1694915254237288,0.03516483516483515,0.03516483516483515,0.08577471098228948,1.0,1.0,1.0,0.75,0.4926758670531316
breast_cancer,0,2,2,0.017543859649122806,114,4.434697855750481,2.254945054945053,9.999999999999979,59,37,0.6271186440677966,27,0.4576271186440678,0.981132075471698,0.09750000000000025,0.8647660818713461,0.06715733046065478,36.0000000000001,15.96491228070181,2.254945054945053,0.027584876543209735,inf,inf,inf,7,0.11864406779661017,0.03516483516483515,0.03516483516483515,0.08577471098228948,1.0,1.0,1.0,0.75,0.4926758670531316
breast_cancer,0,3,1,0.008771929824561403,114,4.434697855750481,2.254945054945053,9.999999999999979,87,49,0.5632183908045977,33,0.3793103448275862,0.9537037037037038,0.09670370370370396,0.8577034149158916,0.07413256120591734,36.0000000000001,15.96491228070181,2.254945054945053,0.027521369963928066,inf,inf,inf,14,0.16091954022988506,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.041314645348757,1.0,1.041314645348757,0.6857180399653293,0.34207219012960316
breast_cancer,0,3,2,0.017543859649122806,114,4.434697855750481,2.254945054945053,9.999999999999979,87,37,0.42528735632183906,27,0.3103448275862069,0.9537037037037038,0.09670370370370396,0.8577034149158916,0.05156141870813072,36.0000000000001,15.96491228070181,2.254945054945053,0.027521369963928066,inf,inf,inf,7,0.08045977011494253,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.041314645348757,1.0,1.041314645348757,0.6857180399653293,0.34207219012960316
breast_cancer,0,4,1,0.008771929824561403,114,4.434697855750481,2.254945054945053,9.999999999999979,114,54,0.47368421052631576,34,0.2982456140350877,0.9537037037037038,0.09631210937500012,0.8542302098562377,0.06633911955548301,36.0000000000001,15.96491228070181,2.254945054945053,0.027489763192152128,inf,inf,inf,18,0.15789473684210525,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.041314645348757,1.0,1.041314645348757,0.6665206791761908,0.22115382403717312
breast_cancer,0,4,2,0.017543859649122806,114,4.434697855750481,2.254945054945053,9.999999999999979,114,37,0.32456140350877194,27,0.23684210526315788,0.9537037037037038,0.09631210937500012,0.8542302098562377,0.0363661297359659,36.0000000000001,15.96491228070181,2.254945054945053,0.027489763192152128,inf,inf,inf,7,0.06140350877192982,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.041314645348757,1.0,1.041314645348757,0.6665206791761908,0.22115382403717312
breast_cancer,0,5,1,0.008771929824561403,114,4.434697855750481,2.254945054945053,9.999999999999979,140,60,0.42857142857142855,34,0.24285714285714285,0.9813084112149533,0.09607920320000007,0.8521644728265102,0.05870356842690753,36.0000000000001,15.96491228070181,2.254945054945053,0.027470845722408432,inf,inf,inf,26,0.18571428571428572,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.041314645348757,1.0,1.041314645348757,0.6557433305124546,0.10803649632675058
breast_cancer,0,5,2,0.017543859649122806,114,4.434697855750481,2.254945054945053,9.999999999999979,140,37,0.2642857142857143,27,0.19285714285714287,0.9813084112149533,0.09607920320000007,0.8521644728265102,0.02132793365381498,36.0000000000001,15.96491228070181,2.254945054945053,0.027470845722408432,inf,inf,inf,8,0.05714285714285714,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.041314645348757,1.0,1.041314645348757,0.6557433305124546,0.10803649632675058
breast_cancer,0,6,1,0.008771929824561403,114,4.434697855750481,2.254945054945053,9.999999999999979,165,72,0.43636363636363634,34,0.20606060606060606,0.9439252336448598,0.09592477621313467,0.8507947987714661,0.05114610259358382,36.0000000000001,15.96491228070181,2.254945054945053,0.027458253422613543,inf,inf,inf,29,0.17575757575757575,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.041314645348757,1.0,1.041314645348757,0.6488376699125897,-0.001489022655737342
breast_cancer,0,6,2,0.017543859649122806,114,4.434697855750481,2.254945054945053,9.999999999999979,165,37,0.22424242424242424,27,0.16363636363636364,0.9439252336448598,0.09592477621313467,0.8507947987714661,0.006367428974032974,36.0000000000001,15.96491228070181,2.254945054945053,0.027458253422613543,inf,inf,inf,8,0.048484848484848485,0.03516483516483515,0.03516483516483515,0.08021069906817725,1.041314645348757,1.0,1.041314645348757,0.6488376699125897,-0.001489022655737342
breast_cancer,0,7,1,0.008771929824561403,114,4.434697855750481,2.254945054945053,9.999999999999979,189,78,0.4126984126984127,34,0.17989417989417988,0.9439252336448598,0.0958148812400813,0.8498200967687511,0.04363294547357905,36.0000000000001,15.96491228070181,2.254945054945053,0.027449268377630065,inf,inf,inf,34,0.17989417989417988,0.03516483516483515,0.03516483516483515,0.04101688562540817,2.155778437287505,1.4756242280622986,3.181118892395723,0.27503507329472965,-0.06543811760875622
