n,K,tau,eta,split,balanced_def,status,min_delta,delta_cc,delta_explicit,ratio_B,LK,opt_is_O,n_hard_conflicts,leak
10,3,1,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,154,
10,3,1,3.0,u,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,154,
10,3,2,3.0,sqrt,ysmall,FEASIBLE,4.61866,4.61866,4.61866,0.297668,0.297668,True,0,0.298
10,3,2,3.0,u,ysmall,FEASIBLE,4.61866,4.61866,4.61866,0.297668,0.297668,True,0,0.298
10,3,2,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,441,
10,3,2,3.0,u,true,INFEASIBLE-ANY-DELTA,,4.61866,,0.297668,0.297668,True,441,
10,4,1,1.5,sqrt,ysmall,FEASIBLE,0.234568,0.234568,0.234568,0.517747,0.517747,True,0,0.123
10,4,1,1.5,u,ysmall,FEASIBLE,0.234568,0.234568,0.234568,0.517747,0.517747,True,0,0.123
10,4,1,1.5,sqrt,true,INFEASIBLE-ANY-DELTA,,4.35837,,0.517747,0.517747,True,36,
10,4,1,1.5,u,true,INFEASIBLE-ANY-DELTA,,4.35837,,0.517747,0.517747,True,36,
10,4,2,1.5,sqrt,ysmall,FEASIBLE,0.929012,0.929012,0.929012,0.517747,0.517747,True,0,0.326
10,4,2,1.5,u,ysmall,FEASIBLE,0.929012,0.929012,0.929012,0.517747,0.517747,True,0,0.326
10,4,2,1.5,sqrt,true,INFEASIBLE-ANY-DELTA,,4.35837,,0.517747,0.517747,True,186,
10,4,2,1.5,u,true,INFEASIBLE-ANY-DELTA,,4.35837,,0.517747,0.517747,True,186,
10,4,1,2.0,sqrt,ysmall,FEASIBLE,0.361111,0.361111,0.361111,0.413818,0.413818,True,0,0.222
10,4,1,2.0,u,ysmall,FEASIBLE,0.361111,0.361111,0.361111,0.413818,0.413818,True,0,0.222
10,4,1,2.0,sqrt,true,INFEASIBLE-ANY-DELTA,,6.18073,,0.413818,0.413818,True,36,
10,4,1,2.0,u,true,INFEASIBLE-ANY-DELTA,,6.18073,,0.413818,0.413818,True,36,
10,4,2,2.0,sqrt,ysmall,FEASIBLE,1.34473,1.34473,1.34473,0.413818,0.413818,True,0,0.243
10,4,2,2.0,u,ysmall,FEASIBLE,1.34473,1.34473,1.34473,0.413818,0.413818,True,0,0.243
10,4,2,2.0,sqrt,true,INFEASIBLE-ANY-DELTA,,6.18073,,0.413818,0.413818,True,186,
10,4,2,2.0,u,true,INFEASIBLE-ANY-DELTA,,6.18073,,0.413818,0.413818,True,186,
10,4,1,3.0,sqrt,ysmall,FEASIBLE,0.493827,0.493827,0.493827,0.293933,0.293933,True,0,0.198
10,4,1,3.0,u,ysmall,FEASIBLE,0.493827,0.493827,0.493827,0.293933,0.293933,True,0,0.198
10,4,1,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,8.49268,,0.293933,0.293933,True,36,
10,4,1,3.0,u,true,INFEASIBLE-ANY-DELTA,,8.49268,,0.293933,0.293933,True,36,
10,4,2,3.0,sqrt,ysmall,FEASIBLE,1.82427,1.82427,1.82427,0.293933,0.293933,True,0,0.208
10,4,2,3.0,u,ysmall,FEASIBLE,1.82427,1.82427,1.82427,0.293933,0.293933,True,0,0.208
10,4,2,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,8.49268,,0.293933,0.293933,True,186,
10,4,2,3.0,u,true,INFEASIBLE-ANY-DELTA,,8.49268,,0.293933,0.293933,True,186,
12,4,1,1.5,sqrt,ysmall,FEASIBLE,0.234568,0.234568,0.234568,0.517747,0.517747,True,0,0.127
12,4,1,1.5,sqrt,true,INFEASIBLE-ANY-DELTA,,4.35837,,0.517747,0.517747,True,232,
12,4,2,1.5,sqrt,ysmall,FEASIBLE,0.929012,0.929012,0.929012,0.517747,0.517747,True,0,0.282
12,4,2,1.5,sqrt,true,INFEASIBLE-ANY-DELTA,,4.35837,,0.517747,0.517747,True,960,
12,4,1,2.0,sqrt,ysmall,FEASIBLE,0.361111,0.361111,0.361111,0.413818,0.413818,True,0,0.166
12,4,1,2.0,sqrt,true,INFEASIBLE-ANY-DELTA,,6.18073,,0.413818,0.413818,True,232,
12,4,2,2.0,sqrt,ysmall,FEASIBLE,1.34473,1.34473,1.34473,0.413818,0.413818,True,0,0.345
12,4,2,2.0,sqrt,true,INFEASIBLE-ANY-DELTA,,6.18073,,0.413818,0.413818,True,960,
12,4,1,3.0,sqrt,ysmall,FEASIBLE,0.493827,0.493827,0.493827,0.293933,0.293933,True,0,0.216
12,4,1,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,8.49268,,0.293933,0.293933,True,232,
12,4,2,3.0,sqrt,ysmall,FEASIBLE,1.82427,1.82427,1.82427,0.293933,0.293933,True,0,0.224
12,4,2,3.0,sqrt,true,INFEASIBLE-ANY-DELTA,,8.49268,,0.293933,0.293933,True,960,
