K,n,eta,tau,x,y,balanced,F,G,Ghat_xy
4,32,2.0,1,15,2,1,1,1.1776447612,1.1776447612
4,32,2.0,1,15,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,15,4,0,1,1.1776447612,1.1776447612
4,32,2.0,1,16,0,0,0.876453852163,1.08025022933,1.17686888034
4,32,2.0,1,16,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,16,2,1,1,1.1776447612,1.1776447612
4,32,2.0,1,16,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,16,4,0,1,1.1776447612,1.1776447612
4,32,2.0,1,17,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,17,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,17,2,1,1,1.1776447612,1.1776447612
4,32,2.0,1,17,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,17,4,0,1,1.1776447612,1.1776447612
4,32,2.0,1,18,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,18,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,18,2,1,1,1.1776447612,1.1776447612
4,32,2.0,1,18,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,18,4,0,1,1.1776447612,1.1776447612
4,32,2.0,1,19,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,19,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,19,2,1,1,1.1776447612,1.1776447612
4,32,2.0,1,19,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,19,4,0,1,1.1776447612,1.1776447612
4,32,2.0,1,20,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,20,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,20,2,1,1,1.1776447612,1.1776447612
4,32,2.0,1,20,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,20,4,1,1,1.1776447612,1.1776447612
4,32,2.0,1,21,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,21,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,21,2,1,1,1.1776447612,1.1776447612
4,32,2.0,1,21,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,21,4,1,1,1.1776447612,1.1776447612
4,32,2.0,1,22,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,22,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,22,2,1,1,1.1776447612,1.1776447612
4,32,2.0,1,22,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,22,4,1,1,1.1776447612,1.1776447612
4,32,2.0,1,23,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,23,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,23,2,0,1,1.1776447612,1.1776447612
4,32,2.0,1,23,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,23,4,1,1,1.1776447612,1.1776447612
4,32,2.0,1,24,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,24,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,24,2,0,1,1.1776447612,1.1776447612
4,32,2.0,1,24,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,24,4,1,1,1.1776447612,1.1776447612
4,32,2.0,1,25,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,25,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,25,2,0,1,1.1776447612,1.1776447612
4,32,2.0,1,25,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,25,4,1,1,1.1776447612,1.1776447612
4,32,2.0,1,26,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,26,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,26,2,0,1,1.1776447612,1.1776447612
4,32,2.0,1,26,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,26,4,1,1,1.1776447612,1.1776447612
4,32,2.0,1,27,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,27,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,27,2,0,1,1.1776447612,1.1776447612
4,32,2.0,1,27,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,27,4,1,1,1.1776447612,1.1776447612
4,32,2.0,1,28,0,0,0.876453852163,1.08025022933,1.1776447612
4,32,2.0,1,28,1,0,0.998902738755,1.17686888034,1.1776447612
4,32,2.0,1,28,2,0,1,1.1776447612,1.1776447612
4,32,2.0,1,28,3,1,1,1.1776447612,1.1776447612
4,32,2.0,1,28,4,1,1,1.1776447612,1.1776447612
6,48,2.0,1,0,0,1,-0,-0,-0
6,48,2.0,1,0,1,1,0.166666666667,0.117851130198,0.117851130198
6,48,2.0,1,0,2,0,0.333333333333,0.289538574689,0.224988521287
6,48,2.0,1,0,3,0,0.5,0.525237781797,0.322386149549
6,48,2.0,1,0,4,0,0.666666666667,0.752890651428,0.41092944797
6,48,2.0,1,0,5,0,0.833333333333,0.981639983961,0.491423355625
6,48,2.0,1,0,6,0,1,1.21611354813,0.569232900159
6,48,2.0,1,1,0,1,0.0909090909091,0.117851130198,0.117851130198
