task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos
E3,business_facility,4,4,0.418076,7.01282,18.746,0.00,0.135151,0.052287,0,0.000000
E3,business_facility,5,4,0.403221,9.20434,18.746,0.00,0.104024,0.052218,0,0.000000
E3,business_facility,6,4,0.389341,15.9074,21.4853,0.00,0.061240,0.045650,0,0.000000
E3,business_facility,7,4,0.396764,15.9074,21.4853,0.00,0.061195,0.045625,0,0.000000
E3,business_coverage,3,5,1.000000,1.11712,57.3859,22.22,0.654624,0.017325,0,0.000000
E3,business_coverage,4,5,0.800729,1.11712,62.8048,34.78,0.636992,0.015828,1,0.250000
E3,business_coverage,5,5,0.715953,1.11712,62.8048,41.82,0.627067,0.015821,2,0.400000
E3,business_coverage,6,5,0.688313,1.11712,62.8048,46.03,0.620698,0.015817,3,0.500000
E3,business_coverage,7,5,0.686779,1.11712,62.8048,48.57,0.616264,0.015814,4,0.571429
E3,business_diversity,3,5,0.566447,27.3053,78.7257,11.11,0.036178,0.012649,0,0.000000
E3,business_diversity,4,5,0.714976,27.3053,78.7257,15.22,0.036123,0.012642,0,0.000000
E3,business_diversity,5,5,0.640000,27.3053,78.7257,23.64,0.036090,0.012638,1,0.200000
E3,business_diversity,6,5,0.616063,27.3053,78.7257,30.16,0.036069,0.012635,2,0.333333
E3,business_diversity,7,5,0.599761,27.3053,78.7257,34.29,0.036053,0.012633,3,0.428571
E3,business_facility,3,5,0.724318,1.11712,61.9088,22.22,0.654624,0.016066,1,0.333333
E3,business_facility,4,5,0.847619,1.11712,61.9088,28.26,0.636992,0.016055,1,0.250000
E3,business_facility,5,5,0.719368,1.11712,61.9088,36.36,0.627067,0.016049,2,0.400000
E3,business_facility,6,5,0.716884,1.11712,61.9088,41.27,0.620698,0.016044,3,0.500000
E3,business_facility,7,5,0.797711,1.4682,61.9088,44.29,0.511572,0.016041,3,0.428571
E3,business_coverage,3,6,0.536000,2.80272,18.8444,13.33,0.316044,0.052133,1,0.333333
E3,business_coverage,4,6,0.457143,2.80272,19.8524,18.42,0.311833,0.049428,2,0.500000
E3,business_coverage,5,6,0.550571,2.80272,19.8524,20.00,0.309381,0.049367,2,0.400000
E3,business_coverage,6,6,0.540541,2.80272,23.3215,23.53,0.307776,0.042120,3,0.500000
E3,business_coverage,7,6,0.654595,2.80272,23.3215,23.21,0.306643,0.042099,3,0.428571
E3,business_diversity,3,6,0.720430,8.16183,50.9617,10.00,0.117586,0.019494,0,0.000000
E3,business_diversity,4,6,0.810811,8.16183,50.9617,21.05,0.117006,0.019479,0,0.000000
E3,business_diversity,5,6,0.778244,8.16183,50.9617,31.11,0.116662,0.019469,1,0.200000
E3,business_diversity,6,6,0.914286,8.16183,50.9617,37.25,0.116434,0.019463,1,0.166667
E3,business_diversity,7,6,0.873737,8.16183,50.9617,42.86,0.116272,0.019458,2,0.285714
E3,business_facility,3,6,0.543768,8.16183,40.1967,10.00,0.117586,0.024672,0,0.000000
E3,business_facility,4,6,0.487395,431.767,40.1967,15.79,0.002314,0.024647,0,0.000000
E3,business_facility,5,6,0.689473,431.767,40.1967,20.00,0.002314,0.024631,0,0.000000
E3,business_facility,6,6,0.677304,431.767,40.1967,25.49,0.002314,0.024621,1,0.166667
E3,business_facility,7,6,0.673199,431.767,40.1967,28.57,0.002314,0.024614,2,0.285714
E3,business_coverage,3,7,0.908850,1.18247,9.5429,5.13,0.629691,0.101172,0,0.000000
E3,business_coverage,4,7,0.908385,1.41228,24.1137,12.00,0.541266,0.040830,0,0.000000
E3,business_coverage,5,7,0.885536,1.7906,24.1137,21.67,0.446890,0.040788,0,0.000000
E3,business_coverage,6,7,0.836500,1.7906,24.1137,28.99,0.443562,0.040760,1,0.166667
E3,business_coverage,7,7,0.954819,1.7906,24.1137,33.77,0.441227,0.040740,1,0.142857
E3,business_diversity,3,7,0.487342,22.895,42.4374,0.00,0.043045,0.023380,0,0.000000
E3,business_diversity,4,7,0.670609,22.895,42.4374,0.00,0.042967,0.023357,0,0.000000
E3,business_diversity,5,7,0.624051,22.895,42.4374,0.00,0.042921,0.023343,0,0.000000
E3,business_diversity,6,7,0.749269,22.895,42.4374,0.00,0.042890,0.023334,0,0.000000
E3,business_diversity,7,7,0.884940,22.895,42.4374,5.19,0.042868,0.023327,0,0.000000
E3,business_facility,3,7,0.681515,1.29285,20.4138,5.13,0.591197,0.048191,1,0.333333
E3,business_facility,4,7,0.633705,4.45148,20.4138,6.00,0.206419,0.048094,1,0.250000
E3,business_facility,5,7,0.554087,4.45148,32.5466,6.67,0.205345,0.030350,2,0.400000
E3,business_facility,6,7,0.672939,4.45148,32.5466,5.80,0.204638,0.030334,2,0.333333
E3,business_facility,7,7,0.682630,4.45148,32.5466,10.39,0.204137,0.030323,3,0.428571
E3,business_coverage,3,8,0.795605,4.95911,13.8299,2.38,0.188399,0.070578,0,0.000000
E3,business_coverage,4,8,0.827387,4.95911,14.8785,3.70,0.186907,0.065536,0,0.000000
