task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos
E4,Vj_K3_j2,3,0,0.562500,1.5,1.5,0.00,0.529492,0.529492,0,0.000000
E4,Vj_K3_j1,3,0,0.388889,2.5,2.5,0.00,0.349037,0.349037,0,0.000000
E4,Vj_K3_j0,3,0,0.250000,4,4,0.00,0.229745,0.229745,0,0.000000
E4,Vj_K5_j4,5,0,0.532195,1.5,1.5,0.00,0.511054,0.511054,0,0.000000
E4,Vj_K5_j3,5,0,0.368896,2.5,2.5,0.00,0.340918,0.340918,0,0.000000
E4,Vj_K5_j2,5,0,0.278222,3.5,3.5,0.00,0.254874,0.254874,0,0.000000
E4,Vj_K5_j1,5,0,0.221053,4.5,4.5,0.00,0.203328,0.203328,0,0.000000
E4,Vj_K5_j0,5,0,0.166667,6,6,0.00,0.155920,0.155920,0,0.000000
E4,Vj_K8_j7,8,0,0.515101,1.5,1.5,0.00,0.501470,0.501470,0,0.000000
E4,Vj_K8_j6,8,0,0.355177,2.5,2.5,0.00,0.336580,0.336580,0,0.000000
E4,Vj_K8_j5,8,0,0.269010,3.5,3.5,0.00,0.252440,0.252440,0,0.000000
E4,Vj_K8_j4,8,0,0.215566,4.5,4.5,0.00,0.201777,0.201777,0,0.000000
E4,Vj_K8_j3,8,0,0.179265,5.5,5.5,0.00,0.167994,0.167994,0,0.000000
E4,Vj_K8_j2,8,0,0.153023,6.5,6.5,0.00,0.143880,0.143880,0,0.000000
E4,Vj_K8_j1,8,0,0.133178,7.5,7.5,0.00,0.125809,0.125809,0,0.000000
E4,Vj_K8_j0,8,0,0.111111,9,9,0.00,0.105857,0.105857,0,0.000000
E4,UK_K3,3,0,0.421296,2,2,0.00,0.421296,0.421296,0,0.000000
E4,UK_K5,5,0,0.409510,2,2,0.00,0.409510,0.409510,0,0.000000
E4,UK_K8,8,0,0.403281,2,2,0.00,0.403281,0.403281,0,0.000000
