dataset,seed,K,method,oos_acc,features
breast_cancer,7,3,rfe,0.956140,mean texture|worst area|worst concave points
breast_cancer,7,3,greedy_ftilde,0.956140,worst perimeter|worst smoothness|concave points error
breast_cancer,7,3,greedy_f,0.964912,worst perimeter|worst smoothness|worst texture
breast_cancer,7,4,selectkbest,0.894737,worst concave points|worst perimeter|worst radius|mean concave points
breast_cancer,7,4,mutual_info,0.885965,worst area|worst perimeter|worst radius|worst concave points
breast_cancer,7,4,extra_trees,0.903509,worst radius|worst perimeter|worst concave points|mean concavity
breast_cancer,7,4,rfe,0.956140,mean texture|texture error|worst area|worst concave points
breast_cancer,7,4,greedy_ftilde,0.956140,worst perimeter|worst smoothness|concave points error|mean perimeter
breast_cancer,7,4,greedy_f,0.982456,worst perimeter|worst smoothness|worst texture|mean concave points
breast_cancer,7,5,selectkbest,0.903509,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter
breast_cancer,7,5,mutual_info,0.912281,worst area|worst perimeter|worst radius|worst concave points|mean concave points
breast_cancer,7,5,extra_trees,0.921053,worst radius|worst perimeter|worst concave points|mean concavity|mean radius
breast_cancer,7,5,rfe,0.938596,mean texture|texture error|worst area|worst concavity|worst concave points
breast_cancer,7,5,greedy_ftilde,0.938596,worst perimeter|worst smoothness|concave points error|mean perimeter|symmetry error
breast_cancer,7,5,greedy_f,0.982456,worst perimeter|worst smoothness|worst texture|mean concave points|concave points error
breast_cancer,7,6,selectkbest,0.921053,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|worst area
breast_cancer,7,6,mutual_info,0.921053,worst area|worst perimeter|worst radius|worst concave points|mean concave points|mean perimeter
breast_cancer,7,6,extra_trees,0.921053,worst radius|worst perimeter|worst concave points|mean concavity|mean radius|worst area
breast_cancer,7,6,rfe,0.938596,mean texture|texture error|area error|worst area|worst concavity|worst concave points
breast_cancer,7,6,greedy_ftilde,0.956140,worst perimeter|worst smoothness|concave points error|mean perimeter|symmetry error|mean smoothness
breast_cancer,7,6,greedy_f,0.991228,worst perimeter|worst smoothness|worst texture|mean concave points|concave points error|worst compactness
breast_cancer,7,7,selectkbest,0.938596,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|worst area|mean radius
breast_cancer,7,7,mutual_info,0.929825,worst area|worst perimeter|worst radius|worst concave points|mean concave points|mean perimeter|mean concavity
breast_cancer,7,7,extra_trees,0.929825,worst radius|worst perimeter|worst concave points|mean concavity|mean radius|worst area|mean concave points
breast_cancer,7,7,rfe,0.903509,mean texture|texture error|area error|worst texture|worst area|worst concavity|worst concave points
breast_cancer,7,7,greedy_ftilde,0.929825,worst perimeter|worst smoothness|concave points error|mean perimeter|symmetry error|mean smoothness|worst concavity
breast_cancer,7,7,greedy_f,0.991228,worst perimeter|worst smoothness|worst texture|mean concave points|concave points error|worst compactness|mean radius
breast_cancer,8,1,selectkbest,0.894737,worst concave points
breast_cancer,8,1,mutual_info,0.850877,worst perimeter
breast_cancer,8,1,extra_trees,0.877193,worst radius
breast_cancer,8,1,rfe,0.850877,worst perimeter
breast_cancer,8,1,greedy_ftilde,0.850877,worst perimeter
breast_cancer,8,1,greedy_f,0.894737,worst area
breast_cancer,8,2,selectkbest,0.921053,worst concave points|worst perimeter
breast_cancer,8,2,mutual_info,0.885965,worst perimeter|worst area
breast_cancer,8,2,extra_trees,0.903509,worst radius|worst perimeter
breast_cancer,8,2,rfe,0.947368,worst texture|worst perimeter
breast_cancer,8,2,greedy_ftilde,0.921053,worst perimeter|worst smoothness
breast_cancer,8,2,greedy_f,0.964912,worst area|concave points error
breast_cancer,8,3,selectkbest,0.903509,worst concave points|worst perimeter|mean concave points
breast_cancer,8,3,mutual_info,0.885965,worst perimeter|worst area|worst radius
breast_cancer,8,3,extra_trees,0.921053,worst radius|worst perimeter|worst concave points
breast_cancer,8,3,rfe,0.938596,mean concavity|worst texture|worst perimeter
breast_cancer,8,3,greedy_ftilde,0.956140,worst perimeter|worst smoothness|texture error
breast_cancer,8,3,greedy_f,0.964912,worst area|concave points error|texture error
breast_cancer,8,4,selectkbest,0.921053,worst concave points|worst perimeter|mean concave points|worst radius
breast_cancer,8,4,mutual_info,0.938596,worst perimeter|worst area|worst radius|worst concave points
breast_cancer,8,4,extra_trees,0.938596,worst radius|worst perimeter|worst concave points|worst area
breast_cancer,8,4,rfe,0.938596,mean concavity|worst texture|worst perimeter|worst concave points
breast_cancer,8,4,greedy_ftilde,0.956140,worst perimeter|worst smoothness|texture error|worst texture
breast_cancer,8,4,greedy_f,0.973684,worst area|concave points error|texture error|worst texture
breast_cancer,8,5,selectkbest,0.947368,worst concave points|worst perimeter|mean concave points|worst radius|mean perimeter
breast_cancer,8,5,mutual_info,0.921053,worst perimeter|worst area|worst radius|worst concave points|mean concave points
breast_cancer,8,5,extra_trees,0.964912,worst radius|worst perimeter|worst concave points|worst area|mean radius
breast_cancer,8,5,rfe,0.938596,mean texture|mean concavity|worst texture|worst perimeter|worst concave points
breast_cancer,8,5,greedy_ftilde,0.947368,worst perimeter|worst smoothness|texture error|worst texture|fractal dimension error
breast_cancer,8,5,greedy_f,0.973684,worst area|concave points error|texture error|worst texture|mean area
breast_cancer,8,6,selectkbest,0.956140,worst concave points|worst perimeter|mean concave points|worst radius|mean perimeter|mean radius
breast_cancer,8,6,mutual_info,0.947368,worst perimeter|worst area|worst radius|worst concave points|mean concave points|mean perimeter
breast_cancer,8,6,extra_trees,0.956140,worst radius|worst perimeter|worst concave points|worst area|mean radius|mean concave points
breast_cancer,8,6,rfe,0.938596,mean texture|mean concavity|mean concave points|worst texture|worst perimeter|worst concave points
breast_cancer,8,6,greedy_ftilde,0.947368,worst perimeter|worst smoothness|texture error|worst texture|fractal dimension error|mean texture
breast_cancer,8,6,greedy_f,0.973684,worst area|concave points error|texture error|worst texture|mean area|mean symmetry
breast_cancer,8,7,selectkbest,0.947368,worst concave points|worst perimeter|mean concave points|worst radius|mean perimeter|mean radius|worst area
breast_cancer,8,7,mutual_info,0.921053,worst perimeter|worst area|worst radius|worst concave points|mean concave points|mean perimeter|mean concavity
breast_cancer,8,7,extra_trees,0.912281,worst radius|worst perimeter|worst concave points|worst area|mean radius|mean concave points|mean concavity
breast_cancer,8,7,rfe,0.938596,mean texture|mean concavity|mean concave points|fractal dimension error|worst texture|worst perimeter|worst concave points
breast_cancer,8,7,greedy_ftilde,0.947368,worst perimeter|worst smoothness|texture error|worst texture|fractal dimension error|mean texture|worst concavity
breast_cancer,8,7,greedy_f,0.973684,worst area|concave points error|texture error|worst texture|mean area|mean symmetry|mean texture
breast_cancer,9,1,selectkbest,0.877193,worst concave points
breast_cancer,9,1,mutual_info,0.859649,worst perimeter
breast_cancer,9,1,extra_trees,0.859649,worst perimeter
breast_cancer,9,1,rfe,0.850877,worst radius
breast_cancer,9,1,greedy_ftilde,0.859649,worst perimeter
breast_cancer,9,1,greedy_f,0.885965,mean concave points
breast_cancer,9,2,selectkbest,0.903509,worst concave points|worst perimeter
breast_cancer,9,2,mutual_info,0.833333,worst perimeter|worst area
breast_cancer,9,2,extra_trees,0.833333,worst perimeter|worst radius
breast_cancer,9,2,rfe,0.921053,worst radius|worst concave points
breast_cancer,9,2,greedy_ftilde,0.921053,worst perimeter|worst smoothness
breast_cancer,9,2,greedy_f,0.938596,mean concave points|worst concavity
breast_cancer,9,3,selectkbest,0.894737,worst concave points|worst perimeter|worst radius
breast_cancer,9,3,mutual_info,0.824561,worst perimeter|worst area|worst radius
breast_cancer,9,3,extra_trees,0.894737,worst perimeter|worst radius|worst concave points
breast_cancer,9,3,rfe,0.921053,worst radius|worst texture|worst concave points
breast_cancer,9,3,greedy_ftilde,0.921053,worst perimeter|worst smoothness|mean area
breast_cancer,9,3,greedy_f,0.947368,mean concave points|worst concavity|mean radius
breast_cancer,9,4,selectkbest,0.938596,worst concave points|worst perimeter|worst radius|mean concave points
breast_cancer,9,4,mutual_info,0.903509,worst perimeter|worst area|worst radius|mean concave points
breast_cancer,9,4,extra_trees,0.938596,worst perimeter|worst radius|worst concave points|mean concave points
breast_cancer,9,4,rfe,0.912281,mean texture|worst radius|worst texture|worst concave points
breast_cancer,9,4,greedy_ftilde,0.921053,worst perimeter|worst smoothness|mean area|worst fractal dimension
breast_cancer,9,4,greedy_f,0.973684,mean concave points|worst concavity|mean radius|mean perimeter
breast_cancer,9,5,selectkbest,0.938596,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter
breast_cancer,9,5,mutual_info,0.929825,worst perimeter|worst area|worst radius|mean concave points|worst concave points
breast_cancer,9,5,extra_trees,0.929825,worst perimeter|worst radius|worst concave points|mean concave points|worst area
breast_cancer,9,5,rfe,0.921053,mean texture|worst radius|worst texture|worst concavity|worst concave points
breast_cancer,9,5,greedy_ftilde,0.921053,worst perimeter|worst smoothness|mean area|worst fractal dimension|mean radius
breast_cancer,9,5,greedy_f,0.964912,mean concave points|worst concavity|mean radius|mean perimeter|mean texture
breast_cancer,9,6,selectkbest,0.929825,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|worst area
breast_cancer,9,6,mutual_info,0.929825,worst perimeter|worst area|worst radius|mean concave points|worst concave points|mean perimeter
breast_cancer,9,6,extra_trees,0.929825,worst perimeter|worst radius|worst concave points|mean concave points|worst area|mean radius
breast_cancer,9,6,rfe,0.929825,mean texture|worst radius|worst texture|worst area|worst concavity|worst concave points
breast_cancer,9,6,greedy_ftilde,0.912281,worst perimeter|worst smoothness|mean area|worst fractal dimension|mean radius|mean texture
breast_cancer,9,6,greedy_f,0.973684,mean concave points|worst concavity|mean radius|mean perimeter|mean texture|texture error
breast_cancer,9,7,selectkbest,0.929825,worst concave points|worst perimeter|worst radius|mean concave points|mean perimeter|worst area|mean radius
breast_cancer,9,7,mutual_info,0.929825,worst perimeter|worst area|worst radius|mean concave points|worst concave points|mean perimeter|mean radius
breast_cancer,9,7,extra_trees,0.938596,worst perimeter|worst radius|worst concave points|mean concave points|worst area|mean radius|mean concavity
breast_cancer,9,7,rfe,0.929825,mean texture|area error|worst radius|worst texture|worst area|worst concavity|worst concave points
breast_cancer,9,7,greedy_ftilde,0.921053,worst perimeter|worst smoothness|mean area|worst fractal dimension|mean radius|mean texture|mean smoothness
breast_cancer,9,7,greedy_f,0.973684,mean concave points|worst concavity|mean radius|mean perimeter|mean texture|texture error|mean symmetry
