dataset,p,seed,K,eta_sel_csv,eta_sel_fixedk,LK_csv,LK_fixedk,is_inf,n_steps_nonpos_csv,n_zero_steps_replay,n_harmful_zero_replay,n_benign_zero_replay,eta_sel_changed,LK_changed
email_eu_core,0.3,19,7,3.76923,3.76923,0.236975,0.236975,0,0,0,0,0,0,0
email_eu_core,0.3,19,8,3.76923,3.76923,0.236472,0.236472,0,0,0,0,0,0,0
email_eu_core,0.3,19,9,3.76923,3.76923,0.236082,0.236082,0,0,0,0,0,0,0
email_eu_core,0.3,19,10,4.25,4.25,0.211881,0.211881,0,0,0,0,0,0,0
email_eu_core,0.3,19,11,4.25,4.25,0.211677,0.211677,0,0,0,0,0,0,0
email_eu_core,0.3,19,12,4.25,4.25,0.211507,0.211507,0,0,0,0,0,0,0
email_eu_core,0.3,19,13,4.25,4.25,0.211363,0.211363,0,0,0,0,0,0,0
email_eu_core,0.3,19,14,4.25,4.25,0.211240,0.211240,0,0,0,0,0,0,0
email_eu_core,0.3,19,15,4.25,4.25,0.211134,0.211134,0,0,0,0,0,0,0
email_eu_core,0.3,19,16,8,8,0.117936,0.117936,0,0,0,0,0,0,0
email_eu_core,0.3,19,17,8,8,0.117911,0.117911,0,0,0,0,0,0,0
email_eu_core,0.3,19,18,8,8,0.117888,0.117888,0,0,0,0,0,0,0
email_eu_core,0.3,19,19,8,8,0.117867,0.117867,0,0,0,0,0,0,0
email_eu_core,0.3,19,20,8,8,0.117849,0.117849,0,0,0,0,0,0,0
email_eu_core,0.3,19,21,8,8,0.117833,0.117833,0,0,0,0,0,0,0
email_eu_core,0.3,19,22,8,8,0.117818,0.117818,0,0,0,0,0,0,0
email_eu_core,0.3,19,23,8,8,0.117804,0.117804,0,0,0,0,0,0,0
email_eu_core,0.3,19,24,8,8,0.117791,0.117791,0,0,0,0,0,0,0
email_eu_core,0.3,19,25,8,8,0.117780,0.117780,0,0,0,0,0,0,0
email_eu_core,0.3,19,26,8,8,0.117769,0.117769,0,0,0,0,0,0,0
email_eu_core,0.3,19,27,8,inf,0.117759,0.000000,1,1,1,1,0,1,1
email_eu_core,0.3,19,28,9,inf,0.105358,0.000000,1,1,1,1,0,1,1
email_eu_core,0.3,19,29,9,inf,0.105352,0.000000,1,1,1,1,0,1,1
email_eu_core,0.3,19,30,9,inf,0.105345,0.000000,1,1,1,1,0,1,1
email_eu_core,0.5,1,1,1,1,1.000000,1.000000,0,0,0,0,0,0,0
email_eu_core,0.5,1,2,1.20833,1.20833,0.656361,0.656361,0,0,0,0,0,0,0
email_eu_core,0.5,1,3,1.20833,1.20833,0.620280,0.620280,0,0,0,0,0,0,0
email_eu_core,0.5,1,4,1.20833,1.20833,0.604343,0.604343,0,0,0,0,0,0,0
email_eu_core,0.5,1,5,1.20833,1.20833,0.595343,0.595343,0,0,0,0,0,0,0
email_eu_core,0.5,1,6,1.39286,1.39286,0.534512,0.534512,0,0,0,0,0,0,0
email_eu_core,0.5,1,7,1.39286,1.39286,0.531161,0.531161,0,0,0,0,0,0,0
email_eu_core,0.5,1,8,1.39286,1.39286,0.528686,0.528686,0,0,0,0,0,0,0
