task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos,J2_L,J2_rho_at_sel,J2_below_L,J2_below_rho_at_sel,J2_gap
E3,tech_facility,5,15,0.631257,1.0,21.5997,33.33,0.67232,0.045447,3,0.6,0.6723199999999999,0.6723199999999999,True,True,0.04106299999999996
E3,sport_coverage,4,55,0.644689,1.0,18.1243,32.35,0.683594,0.054044,2,0.5,0.68359375,0.68359375,True,True,0.03890475000000004
E3,tech_coverage,4,57,0.622247,1.06215,27.1833,16.67,0.658176,0.036283,2,0.5,0.65817676436448,0.6628415926434199,True,True,0.03592976436448003
E3,sport_coverage,4,90,0.560702,1.23976,13.8045,12.12,0.593772,0.070496,2,0.5,0.5937726935438533,0.6092115973807227,True,True,0.03307069354385328
E3,business_coverage,4,38,0.19403,4.00907,69.0,15.79,0.227057,0.014414,2,0.5,0.22705766439134834,0.24943440748103674,True,True,0.03302766439134833
E3,business_coverage,4,10,0.650718,1.0,32.226,39.47,0.683594,0.030672,2,0.5,0.68359375,0.68359375,True,True,0.03287574999999998
E3,business_coverage,4,74,0.652465,1.0,40.8617,23.91,0.683594,0.024249,2,0.5,0.68359375,0.68359375,True,True,0.03112875000000004
E3,tech_coverage,4,8,0.642235,1.02589,19.5101,18.0,0.672814,0.050279,2,0.5,0.6728119509397038,0.6748159141287271,True,True,0.030576950939703806
E3,business_coverage,4,91,0.655854,1.0,22.2539,14.52,0.683594,0.044184,2,0.5,0.68359375,0.68359375,True,True,0.027739749999999952
E3,sport_facility,5,33,0.496007,1.4612,54.0007,9.23,0.520961,0.018382,3,0.6,0.5209603154478487,0.5411086552575004,True,True,0.024953315447848734
E3,sport_coverage,4,91,0.659284,1.0,25.4502,24.0,0.683594,0.038717,2,0.5,0.68359375,0.68359375,True,True,0.02430975000000002
E3,business_facility,3,19,0.462947,1.67507,47.7327,11.11,0.486071,0.020804,1,0.333333,0.4860711679101204,0.5249341940298389,True,True,0.023124167910120397
E3,business_coverage,7,50,0.635028,1.00748,37.6729,39.56,0.657129,0.026244,4,0.571429,0.6571280543044287,0.6574887956993525,True,True,0.02210005430442863
E3,business_facility,3,96,0.660194,1.05316,40.6152,28.57,0.680697,0.02442,1,0.333333,0.6806986704665646,0.6857394307388784,True,True,0.02050467046656468
E3,business_coverage,5,85,0.653229,1.0,17.1191,33.33,0.67232,0.057065,3,0.6,0.6723199999999999,0.6723199999999999,True,True,0.01909099999999997
E3,sport_facility,7,91,0.602502,1.11295,41.4075,27.27,0.617734,0.023902,4,0.571429,0.6177358491414944,0.6226778957002632,True,True,0.015233849141494393
E3,business_coverage,4,85,0.669528,1.0,17.0755,26.32,0.683594,0.05729,2,0.5,0.68359375,0.68359375,True,True,0.014065749999999988
E3,sport_coverage,3,12,0.677686,1.03078,16.6833,13.33,0.690234,0.058751,1,0.333333,0.6902330650226847,0.6932027746619684,True,True,0.012547065022684656
E3,sport_coverage,3,20,0.677686,1.03078,16.6833,13.33,0.690234,0.058751,1,0.333333,0.6902330650226847,0.6932027746619684,True,True,0.012547065022684656
E3,business_coverage,6,85,0.658526,1.0,17.1191,37.25,0.665102,0.057011,4,0.666667,0.6651020233196159,0.6651020233196159,True,True,0.006576023319615931
E3,sport_coverage,5,7,0.665821,1.0,4.86552,40.0,0.67232,0.189312,3,0.6,0.6723199999999999,0.6723199999999999,True,True,0.0064989999999999215
E3,sport_coverage,6,90,0.516168,1.44143,13.8045,13.98,0.521572,0.070289,3,0.5,0.5215726056490976,0.5381595618890727,True,True,0.005404605649097616
E3,business_coverage,6,91,0.635691,1.06321,31.7795,27.59,0.64049,0.031057,3,0.5,0.6404879952757783,0.6438198429030559,True,True,0.00479699527577826
E3,business_diversity,4,19,0.472195,1.67507,23.3015,15.22,0.476143,0.04223,2,0.5,0.4761427631333477,0.5064293594467828,True,True,0.003947763133347715
E3,business_coverage,4,50,0.68129,1.0,33.5362,29.31,0.683594,0.029487,2,0.5,0.68359375,0.68359375,True,True,0.002303750000000049
E3,business_coverage,5,18,0.588912,1.22346,6.00277,45.71,0.590358,0.155853,3,0.6,0.5903570418660158,0.6023629926585035,True,True,0.0014450418660157949
E3,tech_coverage,7,15,0.654045,1.01226,22.9009,35.06,0.655253,0.042858,4,0.571429,0.6552510826501556,0.6558397612946281,True,True,0.0012060826501556488
E3,sport_coverage,6,12,0.652346,1.03078,17.6979,27.45,0.652922,0.05519,3,0.5,0.6529209998668684,0.6545919236119954,True,True,0.0005749998668683753
E3,sport_coverage,6,20,0.652346,1.03078,17.6979,27.45,0.652922,0.05519,3,0.5,0.6529209998668684,0.6545919236119954,True,True,0.0005749998668683753
