dataset,split,K,eta_u_path,eta_o_path,eta_path,ratio,LK_bound,frac_nonpos_d,frac_nonpos_dt,frac_direction_violation,n_pairs,n_valid_pairs
breast_cancer,0,1,1.1175438596491223,2.254945054945053,2.519999999999997,0.96,0.3968253968253973,0.4,0.4,0.16666666666666666,30,15
breast_cancer,0,2,15.96491228070181,2.254945054945053,36.0000000000001,0.981132075471698,0.027584876543209735,0.3050847457627119,0.23728813559322035,0.15254237288135594,59,36
breast_cancer,0,3,15.96491228070181,2.254945054945053,36.0000000000001,0.9537037037037038,0.027521369963928066,0.40229885057471265,0.367816091954023,0.21839080459770116,87,39
breast_cancer,0,4,15.96491228070181,2.254945054945053,36.0000000000001,0.9537037037037038,0.027489763192152128,0.45614035087719296,0.4824561403508772,0.23684210526315788,114,41
breast_cancer,0,5,15.96491228070181,2.254945054945053,36.0000000000001,0.9813084112149533,0.027470845722408432,0.39285714285714285,0.5642857142857143,0.3142857142857143,140,43
breast_cancer,0,6,15.96491228070181,2.254945054945053,36.0000000000001,0.9439252336448598,0.027458253422613543,0.4666666666666667,0.6303030303030303,0.28484848484848485,165,43
breast_cancer,0,7,15.96491228070181,2.254945054945053,36.0000000000001,0.9439252336448598,0.027449268377630065,0.4444444444444444,0.6772486772486772,0.32275132275132273,189,43
breast_cancer,1,1,3.991228070175465,1.962637362637362,7.833333333333383,0.9238095238095239,0.1276595744680843,0.36666666666666664,0.4,0.1,30,17
breast_cancer,1,2,11.973684210526345,1.962637362637362,23.50000000000005,0.9629629629629629,0.04210049796287896,0.22033898305084745,0.559322033898305,0.3728813559322034,59,25
breast_cancer,1,3,11.973684210526345,1.962637362637362,23.50000000000005,0.9724770642201835,0.04195245398061731,0.20689655172413793,0.5517241379310345,0.367816091954023,87,36
breast_cancer,1,4,11.973684210526345,1.962637362637362,23.50000000000005,0.9545454545454545,0.04187895428000299,0.20175438596491227,0.5263157894736842,0.3508771929824561,114,48
breast_cancer,1,5,11.973684210526345,1.962637362637362,23.50000000000005,0.9727272727272728,0.041835019997797485,0.19285714285714287,0.6142857142857143,0.44285714285714284,140,48
breast_cancer,1,6,11.973684210526345,1.962637362637362,23.50000000000005,0.9727272727272728,0.04180579908557347,0.21212121212121213,0.6666666666666666,0.4727272727272727,165,48
breast_cancer,1,7,11.973684210526345,1.962637362637362,23.50000000000005,0.9818181818181818,0.04178496049576097,0.2328042328042328,0.708994708994709,0.49206349206349204,189,48
breast_cancer,2,1,4.7894736842105,1.5418427726120014,7.384615384615334,0.9714285714285714,0.13541666666666763,0.3,0.4,0.23333333333333334,30,16
breast_cancer,2,2,4.7894736842105,1.5418427726120014,7.384615384615334,1.0467289719626167,0.13083224826388984,0.3389830508474576,0.4406779661016949,0.2711864406779661,59,27
breast_cancer,2,3,4.7894736842105,1.5418427726120014,7.384615384615334,1.0,0.12939608015314297,0.5517241379310345,0.5747126436781609,0.20689655172413793,87,27
breast_cancer,2,4,4.7894736842105,1.5418427726120014,7.384615384615334,0.9821428571428572,0.12869392717142236,0.6578947368421053,0.6491228070175439,0.18421052631578946,114,27
breast_cancer,2,5,4.7894736842105,1.5418427726120014,7.384615384615334,0.9732142857142857,0.1282775797625344,0.6928571428571428,0.7071428571428572,0.18571428571428572,140,27
breast_cancer,2,6,4.7894736842105,1.5418427726120014,7.384615384615334,0.9732142857142857,0.1280020407078628,0.6545454545454545,0.7393939393939394,0.21818181818181817,165,27
breast_cancer,2,7,4.7894736842105,1.5418427726120014,7.384615384615334,0.9734513274336284,0.12780620879555027,0.6349206349206349,0.7354497354497355,0.2328042328042328,189,31
breast_cancer,3,1,1.8141945773524701,9.145054945054916,16.59090909090902,0.9514563106796117,0.060273972602740034,0.4666666666666667,0.36666666666666664,0.16666666666666666,30,15
breast_cancer,3,2,5.986842105263173,9.145054945054916,54.749999999999964,0.9814814814814815,0.018181439085923956,0.5084745762711864,0.4915254237288136,0.1864406779661017,59,24
breast_cancer,3,3,5.986842105263173,9.145054945054916,54.749999999999964,0.9727272727272728,0.018153864395564434,0.5402298850574713,0.4827586206896552,0.22988505747126436,87,31
breast_cancer,3,4,5.986842105263173,9.145054945054916,54.749999999999964,0.9636363636363636,0.018140118929753757,0.631578947368421,0.5263157894736842,0.2631578947368421,114,31
breast_cancer,3,5,5.986842105263173,9.145054945054916,54.749999999999964,0.9819819819819819,0.018131884996669734,0.6,0.6071428571428571,0.29285714285714287,140,32
breast_cancer,3,6,5.986842105263173,9.145054945054916,54.749999999999964,0.9729729729729729,0.018126401256279512,0.6606060606060606,0.6666666666666666,0.24848484848484848,165,32
breast_cancer,3,7,5.986842105263173,9.145054945054916,54.749999999999964,0.9819819819819819,0.01812248701243091,0.6349206349206349,0.708994708994709,0.2751322751322751,189,32
breast_cancer,4,1,13.304093567251517,2.1046153846153834,28.0000000000001,0.9904761904761904,0.03571428571428559,0.43333333333333335,0.36666666666666664,0.03333333333333333,30,17
breast_cancer,4,2,13.304093567251517,2.5054945054945015,33.333333333333414,0.9906542056074766,0.029774999999999996,0.4915254237288136,0.3898305084745763,0.15254237288135594,59,26
breast_cancer,4,3,13.304093567251517,2.5054945054945015,33.333333333333414,0.9629629629629629,0.029700999999999977,0.5057471264367817,0.5287356321839081,0.3103448275862069,87,26
breast_cancer,4,4,13.304093567251517,2.5054945054945015,33.333333333333414,0.9816513761467891,0.029664184335937316,0.5350877192982456,0.6140350877192983,0.32456140350877194,114,27
breast_cancer,4,5,13.304093567251517,2.5054945054945015,33.333333333333414,0.9816513761467891,0.029642153527775994,0.5714285714285714,0.6857142857142857,0.3142857142857143,140,27
breast_cancer,4,6,13.304093567251517,2.5054945054945015,33.333333333333414,0.9724770642201835,0.029627490643734378,0.5757575757575758,0.7333333333333333,0.32727272727272727,165,27
breast_cancer,4,7,13.304093567251517,2.5054945054945015,33.333333333333414,0.9636363636363636,0.029617029039064935,0.5873015873015873,0.7671957671957672,0.328042328042328,189,27
breast_cancer,5,1,1.9956140350877194,1.3028571428571414,2.599999999999997,0.9423076923076924,0.384615384615385,0.36666666666666664,0.4666666666666667,0.13333333333333333,30,15
breast_cancer,5,2,23.94736842105511,1.3028571428571414,31.200000000003193,1.0,0.031794460880996134,0.2542372881355932,0.3389830508474576,0.13559322033898305,59,36
breast_cancer,5,3,23.94736842105511,1.7538461538461547,42.00000000000437,0.9818181818181818,0.02362105924086033,0.367816091954023,0.2988505747126437,0.19540229885057472,87,45
breast_cancer,5,4,23.94736842105511,1.7538461538461547,42.00000000000437,0.9727272727272728,0.023597781111568406,0.47368421052631576,0.40350877192982454,0.22807017543859648,114,46
breast_cancer,5,5,23.94736842105511,1.7538461538461547,42.00000000000437,0.9727272727272728,0.02358384366840849,0.4928571428571429,0.5142857142857142,0.2642857142857143,140,46
breast_cancer,5,6,23.94736842105511,1.7538461538461547,42.00000000000437,0.9369369369369368,0.02357456426757809,0.49696969696969695,0.5696969696969697,0.2909090909090909,165,47
breast_cancer,5,7,23.94736842105511,1.7538461538461547,42.00000000000437,0.9459459459459459,0.023567942101906825,0.4444444444444444,0.6243386243386243,0.37037037037037035,189,47
breast_cancer,6,1,5.321637426900604,1.5032967032967028,8.000000000000027,1.0,0.12499999999999956,0.3,0.4,0.16666666666666666,30,17
breast_cancer,6,2,5.321637426900604,3.3824175824176,18.00000000000016,0.9908256880733944,0.05478395061728358,0.5084745762711864,0.4915254237288136,0.1864406779661017,59,24
breast_cancer,6,3,5.321637426900604,3.3824175824176,18.00000000000016,0.9819819819819819,0.05453309962912112,0.41379310344827586,0.632183908045977,0.3563218390804598,87,26
breast_cancer,6,4,5.321637426900604,3.3824175824176,18.00000000000016,1.0,0.05440882767251498,0.3684210526315789,0.6578947368421053,0.38596491228070173,114,32
breast_cancer,6,5,5.321637426900604,3.3824175824176,18.00000000000016,0.9821428571428572,0.05433462903690078,0.4785714285714286,0.7,0.3357142857142857,140,32
breast_cancer,6,6,5.321637426900604,3.3824175824176,18.00000000000016,0.9734513274336284,0.05428531412316473,0.4909090909090909,0.7454545454545455,0.3515151515151515,165,32
breast_cancer,6,7,5.321637426900604,3.3824175824176,18.00000000000016,0.9823008849557523,0.054250162740143715,0.48148148148148145,0.7671957671957672,0.36507936507936506,189,34
breast_cancer,7,1,2.3947368421052793,1.9328100470957592,4.628571428571455,0.9803921568627451,0.21604938271604812,0.4,0.3,0.16666666666666666,30,17
breast_cancer,7,2,15.96491228070181,1.9328100470957592,30.85714285714293,0.9541284403669724,0.03214484739369006,0.3050847457627119,0.5084745762711864,0.3220338983050847,59,25
breast_cancer,7,3,15.96491228070181,1.9328100470957592,30.85714285714293,0.9537037037037038,0.03205858796531491,0.3333333333333333,0.5977011494252874,0.3793103448275862,87,29
breast_cancer,7,4,15.96491228070181,1.9328100470957592,30.85714285714293,0.9636363636363636,0.03201569030055462,0.30701754385964913,0.6929824561403509,0.4649122807017544,114,29
breast_cancer,7,5,15.96491228070181,1.9328100470957592,30.85714285714293,0.9454545454545454,0.03199002541745111,0.30714285714285716,0.75,0.5071428571428571,140,29
breast_cancer,7,6,15.96491228070181,1.9328100470957592,30.85714285714293,0.9727272727272728,0.03197294608634327,0.26666666666666666,0.7757575757575758,0.5515151515151515,165,31
breast_cancer,7,7,15.96491228070181,1.9328100470957592,30.85714285714293,0.9545454545454545,0.03196076150861993,0.3439153439153439,0.798941798941799,0.5026455026455027,189,31
breast_cancer,8,1,1.9956140350877207,1.2903296703296716,2.575000000000004,0.9238095238095239,0.3883495145631062,0.36666666666666664,0.4666666666666667,0.16666666666666666,30,15
breast_cancer,8,2,6.984649122807038,2.004395604395591,13.999999999999948,0.9357798165137615,0.07015306122448994,0.2033898305084746,0.3220338983050847,0.13559322033898305,59,39
breast_cancer,8,3,6.984649122807038,2.004395604395591,13.999999999999948,0.9196428571428572,0.06974138861894008,0.3218390804597701,0.42528735632183906,0.1724137931034483,87,46
breast_cancer,8,4,6.984649122807038,2.004395604395591,13.999999999999948,0.9035087719298246,0.06953798140748668,0.3684210526315789,0.5263157894736842,0.21052631578947367,114,48
breast_cancer,8,5,6.984649122807038,2.004395604395591,13.999999999999948,0.9203539823008849,0.06941670196941774,0.37142857142857144,0.6142857142857143,0.2857142857142857,140,48
breast_cancer,8,6,6.984649122807038,2.004395604395591,13.999999999999948,0.9203539823008849,0.06933616489381644,0.46060606060606063,0.6727272727272727,0.24848484848484848,165,48
breast_cancer,8,7,6.984649122807038,2.004395604395591,13.999999999999948,0.9203539823008849,0.06927879225100231,0.5079365079365079,0.7142857142857143,0.23809523809523808,189,48
breast_cancer,9,1,1.8958333333333337,1.7816849816849805,3.377777777777776,0.9181818181818182,0.29605263157894757,0.3333333333333333,0.4,0.2,30,16
breast_cancer,9,2,7.982456140350905,5.261538461538427,41.99999999999987,0.9272727272727272,0.02366780045351491,0.2711864406779661,0.3389830508474576,0.23728813559322035,59,34
breast_cancer,9,3,11.97368421052574,5.261538461538427,62.999999999996554,0.9369369369369368,0.015789179782349838,0.20689655172413793,0.5287356321839081,0.40229885057471265,87,36
breast_cancer,9,4,11.97368421052574,5.261538461538427,62.999999999996554,0.9375,0.015778783340716918,0.24561403508771928,0.631578947368421,0.43859649122807015,114,37
breast_cancer,9,5,11.97368421052574,5.261538461538427,62.999999999996554,0.9553571428571429,0.0157725542521876,0.2357142857142857,0.6928571428571428,0.4857142857142857,140,38
breast_cancer,9,6,11.97368421052574,5.261538461538427,62.999999999996554,0.9557522123893805,0.015768405176113554,0.2909090909090909,0.7212121212121212,0.4666666666666667,165,39
breast_cancer,9,7,11.97368421052574,5.261538461538427,62.999999999996554,0.9557522123893805,0.01576544333563723,0.36507936507936506,0.7566137566137566,0.42328042328042326,189,39
breast_cancer,10,1,23.94736842105274,1.5032967032967013,36.000000000000114,0.9326923076923077,0.02777777777777768,0.36666666666666664,0.36666666666666664,0.0,30,19
breast_cancer,10,2,23.94736842105274,4.509890109890118,108.00000000000068,0.9626168224299065,0.009237825788751763,0.2711864406779661,0.23728813559322035,0.0847457627118644,59,41
breast_cancer,10,3,23.94736842105274,4.509890109890118,108.00000000000068,0.9719626168224298,0.009230710699776656,0.3563218390804598,0.47126436781609193,0.1839080459770115,87,42
breast_cancer,10,4,23.94736842105274,4.509890109890118,108.00000000000068,0.9816513761467891,0.009227158639300681,0.39473684210526316,0.5964912280701754,0.22807017543859648,114,42
breast_cancer,10,5,23.94736842105274,4.509890109890118,108.00000000000068,0.9816513761467891,0.009225029154246056,0.4785714285714286,0.6,0.22857142857142856,140,44
breast_cancer,10,6,23.94736842105274,4.509890109890118,108.00000000000068,0.9818181818181818,0.009223610226378298,0.4666666666666667,0.6242424242424243,0.24848484848484848,165,48
breast_cancer,10,7,23.94736842105274,4.509890109890118,108.00000000000068,0.9727272727272728,0.009222597063188065,0.5343915343915344,0.671957671957672,0.21693121693121692,189,48
breast_cancer,11,1,1.5590734649122815,3.2571428571428562,5.078125000000001,0.9320388349514562,0.19692307692307687,0.4,0.4,0.2,30,15
breast_cancer,11,2,39.912280701754554,3.2571428571428562,130.0000000000005,0.9537037037037038,0.007677514792899354,0.3050847457627119,0.5254237288135594,0.3220338983050847,59,25
breast_cancer,11,3,39.912280701754554,3.2571428571428562,130.0000000000005,0.9541284403669724,0.0076726006844349826,0.2988505747126437,0.5172413793103449,0.3218390804597701,87,35
breast_cancer,11,4,39.912280701754554,3.2571428571428562,130.0000000000005,0.9454545454545454,0.007670146777401854,0.38596491228070173,0.6052631578947368,0.32456140350877194,114,36
breast_cancer,11,5,39.912280701754554,3.2571428571428562,130.0000000000005,0.9545454545454545,0.0076686754385434375,0.36428571428571427,0.6714285714285714,0.39285714285714285,140,37
breast_cancer,11,6,39.912280701754554,3.2571428571428562,130.0000000000005,0.9541284403669724,0.00766769496446984,0.4484848484848485,0.7212121212121212,0.34545454545454546,165,37
breast_cancer,11,7,39.912280701754554,3.2571428571428562,130.0000000000005,0.9541284403669724,0.007666994830697771,0.4973544973544973,0.7566137566137566,0.32275132275132273,189,37
breast_cancer,12,1,1.596491228070177,1.8478021978021977,2.950000000000003,1.0,0.3389830508474573,0.4666666666666667,0.4,0.13333333333333333,30,14
breast_cancer,12,2,7.98245614035088,4.0087912087911945,31.999999999999897,1.0,0.031005859375,0.3559322033898305,0.4067796610169492,0.22033898305084745,59,28
breast_cancer,12,3,7.98245614035088,4.0087912087911945,31.999999999999897,0.9339622641509434,0.03092560944733813,0.47126436781609193,0.5977011494252874,0.22988505747126436,87,28
breast_cancer,12,4,15.96491228070181,4.0087912087911945,64.0,0.9259259259259259,0.015533685451373458,0.5,0.6578947368421053,0.2543859649122807,114,30
breast_cancer,12,5,15.96491228070181,4.0087912087911945,64.0,0.9082568807339451,0.01552764844924237,0.5214285714285715,0.7214285714285714,0.2785714285714286,140,30
breast_cancer,12,6,15.96491228070181,4.0087912087911945,64.0,0.926605504587156,0.015523627263142603,0.5212121212121212,0.7636363636363637,0.3090909090909091,165,30
breast_cancer,12,7,15.96491228070181,4.0087912087911945,64.0,0.963302752293578,0.0155207566906852,0.5502645502645502,0.7037037037037037,0.328042328042328,189,33
breast_cancer,13,1,1.419103313840156,2.5054945054945055,3.555555555555556,0.9528301886792453,0.28125,0.4,0.36666666666666664,0.23333333333333334,30,15
