K,n,eta,lp_base,lp_sub,min_j_Vj,argmin_j,diff_sub_minus_minV,diff_base_minus_minV,diff_sub_minus_base,U_K,L_K,sub_le_UK,inst_ok,inst_ratio,inst_eta_realised,O_base,O_sub,rows_base,rows_sub,sec_base,sec_sub
5,10,1.5,0.5321949187838403,0.551592356687898,0.5321949187838402,4,0.01939743790405779,1.1102230246251565e-16,0.01939743790405768,0.5373356339620394,0.5110544855967077,False,True,0.551592356687898,1.500000000132798,"(5, 6, 7, 8, 9)","(5, 6, 7, 8, 9)",38435,61475,74.96,433.57
5,10,2.0,0.43813443072702324,0.45365853658536587,0.4381344307270234,3,0.015524105858342463,-1.6653345369377348e-16,0.01552410585834263,0.4450710426933565,0.40950999999999993,False,True,0.45365853658536587,2.0000000001690266,"(5, 6, 7, 8, 9)","(5, 6, 7, 8, 9)",38435,61475,84.41,988.22
5,10,3.0,0.31834319526627225,0.3230769230769231,0.3183431952662721,2,0.004733727810651012,1.6653345369377348e-16,0.004733727810650845,0.329823077731064,0.29175440329218105,True,True,0.3230769230769231,3.000000000539762,"(5, 6, 7, 8, 9)","(5, 6, 7, 8, 9)",38435,61475,252.64,403.84
