K,n,eta,lp_base,lp_sub,min_j_Vj,argmin_j,diff_sub_minus_minV,diff_base_minus_minV,diff_sub_minus_base,min_m_Wm,argmin_m,sub_minus_minW,U_K,L_K,sub_le_UK,inst_ok,inst_ratio,inst_eta_realised,O_base,O_sub,rows_base,rows_sub,sec_base,sec_sub
2,4,1.5,0.6000000000000001,0.6000000000000001,0.6,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.6,1,1.1102230246251565e-16,0.64,0.5555555555555555,True,True,0.6000000000000001,1.500000000000004,"(2, 3)","(2, 3)",149,197,0.09,0.14
2,4,2.0,0.4999999999999998,0.49999999999999994,0.5,0,-5.551115123125783e-17,-2.220446049250313e-16,1.6653345369377348e-16,0.5,0,-5.551115123125783e-17,0.5555555555555555,0.4375,True,True,0.49999999999999994,2.0000000000000036,"(2, 3)","(2, 3)",149,197,0.07,0.1
2,4,3.0,0.33333333333333337,0.3333333333333335,0.33333333333333326,0,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.3333333333333333,0,1.6653345369377348e-16,0.4375,0.30555555555555547,True,True,0.3333333333333335,3.0000000000000044,"(2, 3)","(2, 3)",149,197,0.04,0.04
3,6,1.5,0.5625000000000003,0.575757575757576,0.5625,2,0.013257575757576023,3.3306690738754696e-16,0.01325757575757569,0.5757575757575756,2,4.440892098500626e-16,0.578125,0.5294924554183813,True,True,0.575757575757576,1.5000000000000435,"(3, 4, 5)","(3, 4, 5)",1068,1548,0.49,0.78
3,6,2.0,0.46666666666666673,0.46666666666666645,0.46666666666666656,1,-1.1102230246251565e-16,1.6653345369377348e-16,-2.7755575615628914e-16,0.4666666666666666,1,-1.6653345369377348e-16,0.4879999999999999,0.42129629629629617,True,True,0.46666666666666645,2.0000000000000475,"(3, 4, 5)","(3, 4, 5)",1068,1548,0.72,0.83
3,6,3.0,0.33333333333333337,0.33333333333333337,0.33333333333333326,0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3333333333333333,0,5.551115123125783e-17,0.3702623906705538,0.2976680384087793,True,True,0.33333333333333337,3.000000000000027,"(3, 4, 5)","(3, 4, 5)",1068,1548,0.6,0.8
4,8,1.5,0.5435762584522913,0.5609756097560972,0.5435762584522914,3,0.017399351303805766,-1.1102230246251565e-16,0.017399351303805877,0.5609756097560976,2,-4.440892098500626e-16,0.5518748719349773,0.5177469135802468,False,True,0.5609756097560972,1.5000000000003662,"(4, 5, 6, 7)","(4, 5, 6, 7)",6678,10262,45.77,194.03
4,8,2.0,0.4489795918367352,0.46,0.44897959183673475,2,0.011020408163265272,4.440892098500626e-16,0.011020408163264828,0.46,2,0.0,0.4602249062890461,0.413818359375,True,True,0.46,2.000000000000532,"(4, 5, 6, 7)","(4, 5, 6, 7)",6678,10262,53.03,152.7
4,8,3.0,0.325,0.3250000000000002,0.32499999999999996,1,2.220446049250313e-16,5.551115123125783e-17,1.6653345369377348e-16,0.325,1,1.6653345369377348e-16,0.3439,0.2939332561728396,True,True,0.3250000000000002,3.000000000004742,"(4, 5, 6, 7)","(4, 5, 6, 7)",6678,10262,70.68,156.09
